speedupsEncoding,Better,size of image-px,size of word
2.1550100874243445,FPGA,511200,4
2.405034324942792,FPGA,511200,4
5.396524206419578,FPGA,511200,4
3.727594702802587,FPGA,511200,4
4.077515400410678,FPGA,511200,4
3.8443708609271523,FPGA,511200,4
4.049024199843872,FPGA,511200,4
3.676528925619835,FPGA,511200,4
3.697573221757322,FPGA,511200,4
3.6700749829584187,FPGA,511200,4
2.4392807395213367,FPGA,202800,3
2.5236379360046124,FPGA,202800,3
2.9090469279148525,FPGA,202800,3
2.54824908889241,FPGA,202800,3
3.4545454545454546,FPGA,202800,3
10.21775940145698,FPGA,202800,3
2.764840531054479,FPGA,202800,3
4.127103888566453,FPGA,202800,3
2.813244623239981,FPGA,202800,3
3.203563129357088,FPGA,202800,3
9.376764244641924,FPGA,202800,2
2.3534748684449283,FPGA,202800,2
2.0030549898167007,FPGA,202800,2
2.438531429631003,FPGA,202800,2
2.2515383181055384,FPGA,202800,2
2.280052592036064,FPGA,202800,2
1.7121003518433533,FPGA,202800,2
2.086373910235712,FPGA,202800,2
2.5919331395348846,FPGA,202800,2
1.8698746712053227,FPGA,202800,2
1.1698196216454029,FPGA,202800,1
1.1509076558800315,FPGA,202800,1
1.062384705685058,FPGA,202800,1
1.0898762082414788,FPGA,202800,1
1.14413706381641,FPGA,202800,1
0.9988774855676716,CPU,202800,1
1.0187707641196009,FPGA,202800,1
1.1950270635994586,FPGA,202800,1
1.1060998790392258,FPGA,202800,1
1.0506028188147394,FPGA,202800,1
4.301251956181534,FPGA,511200,4
4.895311167945438,FPGA,511200,4
5.197324414715719,FPGA,511200,4
4.714899981304916,FPGA,511200,4
4.272778402699663,FPGA,511200,4
4.235393575051663,FPGA,511200,4
4.701503759398496,FPGA,511200,4
4.09628091372475,FPGA,511200,4
4.105440900562852,FPGA,511200,4
3.8984826589595376,FPGA,511200,4
